paid==yes,higher==yes,Mjob_other,"failures_(1, 2]","age_(19.667, 22]","health_(2.333, 3.667]","studytime_(0.997, 2]",Pstatus==T,"failures_(-0.003, 1]",famsize==LE3,"failures_(2, 3]",Fjob_teacher,"absences_(21.333, 32]",Mjob_at_home,"Medu_(-0.004, 1.333]",G3
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0
0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0
0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0
0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1
0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1
0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1
1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0
0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1
1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1
0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1
1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0
0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
