"F0_-0.1","F1_2","F2_100","F3_200","F4_-50","F5_20","F6_5","F7_30","F8_2","F9_4","F10_2","F11_9","F12_60","F13_2","F14_-10","F15_9","F16_33","F17_-88","F18_20","F19_0.4","T"
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1
1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1
1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1
1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1
1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1
1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1
1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1
0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1
0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1
0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0
0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1
0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0
0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1
0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1
0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1
0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1
1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1
0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1
0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1
0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1
0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1
1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0
1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1
1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1
1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0
0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1
1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1
1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1
1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1
1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1
0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1
0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1
1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1
1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1
1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1
0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1
1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1
0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1
0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1
1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1
1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1
0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1
0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1
1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1
1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1
1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1
0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1
1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1
0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1
1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1
0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1
1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1
0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1
0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1
0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1
1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1
1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1
0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1
1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1
1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0
0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1
1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1
0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1
1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1
1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1
1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1
1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1
1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1
0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1
1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1
0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1
0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1
0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1
0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1
1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0
0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1
1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1
1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0
1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0
1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1
1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1
0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1
1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1
0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1
0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1
1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1
0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1
0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1
1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1
1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1
1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1
0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1
1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1
0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1
1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1
1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1
0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1
0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1
0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1
1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1
0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1
1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0
0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1
1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1
1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1
1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1
0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1
0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1
1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1
1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1
0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0
0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1
1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1
1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0
0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1
1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1
1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1
0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1
0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0
0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1
0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1
1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1
0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0
0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1
1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1
0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1
1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1
1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1
0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1
1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1
1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1
0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1
0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1
0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1
1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1
1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1
1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1
0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1
0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1
1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1
0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1
1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1
1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1
1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0
1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1
1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1
0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1
0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1
1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1
1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1
0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1
1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1
0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1
1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1
1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0
1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1
0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1
0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1
0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1
0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1
1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1
0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1
1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1
0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1
1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1
1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1
0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1
0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1
0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1
1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1
1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1
0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1
0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1
0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1
0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1
1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1
1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1
0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1
0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1
0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1
1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1
0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1
1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1
0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1
0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1
1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1
0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1
0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1
0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1
1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
