,mean,mean|f=0,mean|f=1,std,H,IG,IG ratio
education_1st-4th,0.005159546696968767,0.24187324421943013,0.03571428571428571,0.07164443994371442,0.0466294381608504,0.001213548757261207,0.0260253780685715
"hours.per.week_(66.333, 99]",0.024722827922975338,0.23797077717596674,0.3527950310559006,0.15527913479424704,0.16719368383290897,0.0011524261407046543,0.006892761223302986
native.country_United-States,0.895857006848684,0.19758183426717782,0.24583476174151525,0.3054459528767973,0.48199265318897794,0.0008916731102829312,0.0018499724101257767
race_Other,0.008322840207610331,0.24205636419944254,0.09225092250922509,0.09084916366423389,0.06945728919015001,0.0008911886172568995,0.0128307428586384
workclass_Local-gov,0.06427935259973588,0.23710122095313116,0.29479216435738176,0.24524990811234765,0.34420316513866756,0.0007566406087746724,0.0021982383818866047
race_Amer-Indian-Eskimo,0.009551303706888609,0.24201550387596898,0.1157556270096463,0.09726292358542142,0.07780367649190367,0.0006951593423282221,0.00893478783615786
workclass_Self-emp-not-inc,0.0780381437916526,0.2370752831445703,0.2849271940181031,0.2682316012426219,0.3952284606722303,0.0006276081735847594,0.001587963003770737
education_Preschool,0.001566290961579804,0.24118732697631498,0.0,0.03954538777410436,0.016853285508540268,0.0006231098200866203,0.03697260215350083
native.country_Dominican-Republic,0.002149811123736986,0.24126681234803485,0.02857142857142857,0.04631618978141259,0.022148896767552127,0.0005546583746615097,0.025042257430811527
occupation_Protective-serv,0.019931820275790057,0.2390950112810228,0.325115562403698,0.13976602883489925,0.1410575619024831,0.0005332960124964092,0.0037806977896377597
occupation_Tech-support,0.02850035318325604,0.23892770208326747,0.30495689655172414,0.16639736491804033,0.18681453207856996,0.0004520036762437618,0.002419531667127798
native.country_Columbia,0.0018119836614354597,0.24118515783644084,0.03389830508474576,0.04252881819010273,0.019115705586567465,0.0004355064113408247,0.02278264903006528
native.country_Guatemala,0.001965541598845244,0.24119149459950148,0.046875,0.04429083703281798,0.020504792672981793,0.00039790274734807785,0.01940535335782135
occupation_Sales,0.11209729430914284,0.23721075023347515,0.2693150684931507,0.3154861184230713,0.5062097994634789,0.0003958580755635266,0.0007820039753933808
native.country_El-Salvador,0.003255428273087436,0.24131874903712833,0.08490566037735849,0.056963413344424695,0.031588335719656135,0.0003880419887604125,0.012284344202374353
occupation_Transport-moving,0.04904640520868524,0.24289497480945615,0.20037570444583594,0.21596494008233832,0.2823322620670519,0.0003460549787459577,0.001225701151587742
native.country_Puerto-Rico,0.0035011209729430915,0.24128578913304774,0.10526315789473684,0.05906659906307159,0.033604228026269396,0.00030332238384389587,0.009026316081618658
native.country_Vietnam,0.002057676361291115,0.24115221271619375,0.07462686567164178,0.04531492391345359,0.021329827725305534,0.0002846955013816599,0.013347294926526738
native.country_India,0.0030711587481956942,0.24031915221342534,0.4,0.055332872075643254,0.03005890050749624,0.0002747197988663963,0.00913938281933783
"age_(65.667, 90]",0.03556401830410614,0.2422698468299207,0.20120898100172713,0.18520048300741038,0.22156985245272032,0.00023725613295833003,0.0010707960958224536
native.country_Nicaragua,0.001044193974386536,0.240999784794171,0.058823529411764705,0.03229711493818225,0.011846731590801213,0.00017990535004119845,0.015186074628456335
workclass_Without-pay,0.00042996222474739717,0.24091314099609795,0.0,0.020731072264425197,0.005428654596991793,0.00017093779220644922,0.03148805825686015
native.country_Outlying-US(Guam-USVI-etc),0.00042996222474739717,0.24091314099609795,0.0,0.020731072264425526,0.005428654596991793,0.00017093779220644922,0.03148805825686015
native.country_Jamaica,0.0024876385860385123,0.24110221674876847,0.12345679012345678,0.0498141570269427,0.025105015975124767,0.00015647273716579146,0.006232728046093738
workclass_State-gov,0.039863640551580114,0.2395163611937434,0.27195685670261943,0.19563877609914943,0.24166663645567074,0.00015475569310874349,0.0006403684653306727
native.country_Peru,0.0009520592119406652,0.2409775591761451,0.06451612903225806,0.030840765152603034,0.010928372690022845,0.00015170227916216916,0.01388150674076728
native.country_Haiti,0.0013513098492061054,0.24101239351723713,0.09090909090909091,0.036735321026185444,0.014828119734383732,0.00014686903171423626,0.009904764349432214
native.country_Iran,0.0013205982617241485,0.24057445107325173,0.4186046511627907,0.03631603340061437,0.014534946398264203,0.00014563614578644302,0.010019723623049289
native.country_Japan,0.0019041184238813304,0.24053047786085727,0.3870967741935484,0.04359464137836825,0.01995131802684821,0.00014467408419127636,0.007251354722359218
native.country_Taiwan,0.001566290961579804,0.24057213165179944,0.39215686274509803,0.03954538777410562,0.016853285508540268,0.00012697247217530183,0.007533989269389612
occupation_Craft-repair,0.1258867970885415,0.24285011594406578,0.22664064405952672,0.33172173791798804,0.546048821338518,0.00011543350267562147,0.00021139776914573638
native.country_Philippines,0.006080894321427475,0.2403979853536446,0.30808080808080807,0.07774263338531236,0.05351065659686279,0.00010329661431152104,0.00193039332501065
native.country_Germany,0.004207487485028101,0.24047002220577351,0.32116788321167883,0.06472854497123957,0.03926629709134821,0.00010082739767824922,0.0025677847199008013
native.country_Portugal,0.001136328736832407,0.2409605214610749,0.10810810810810811,0.03369031750865935,0.012753334521887112,9.369135232117909e-05,0.00734642004100082
native.country_France,0.0008906360369767513,0.24065535472765276,0.41379310344827586,0.02983023306021462,0.010309048700591263,9.315972850254539e-05,0.00903669496654937
marital.status_Married-AF-spouse,0.0007063665120850096,0.2406724445263999,0.43478260869565216,0.026568168142269942,0.008412458425005072,9.191677430331335e-05,0.010926267882656184
native.country_Canada,0.00371610208531679,0.2405055487053021,0.32231404958677684,0.06084646802082756,0.035347582594243095,9.148822965165948e-05,0.002588245728197542
native.country_England,0.002764042873376125,0.2405531089279665,0.3333333333333333,0.05250145655472994,0.02747376705609444,8.69396526310684e-05,0.00316446057264589
workclass_Never-worked,0.00021498111237369858,0.2408613380844136,0.0,0.014660658085330814,0.002929341756469362,8.545831613093746e-05,0.029173214747717766
"capital.gain_(33333, 66666]",0.00021498111237369858,0.2408613380844136,0.0,0.014660658085320943,0.002929341756469362,8.545831613093746e-05,0.029173214747717766
native.country_Italy,0.0022419458861828567,0.24058113765082492,0.3424657534246575,0.047296084032670355,0.02296225511870085,8.456031482895199e-05,0.0036825788404417055
race_Asian-Pac-Islander,0.03190933939375326,0.2399911173148912,0.26564003849855633,0.17575873649187815,0.2038785322757144,7.846680090051183e-05,0.00038487034424201927
education_Assoc-voc,0.042443413900064494,0.23990506430610348,0.26121562952243127,0.20159853798222357,0.2533851219522609,7.154576603218832e-05,0.0002823597750370991
native.country_Honduras,0.00039925063726544026,0.240875015361927,0.07692307692307693,0.019977267986239375,0.0050835883649818035,5.337718487030685e-05,0.010499903028733507
native.country_Trinadad&Tobago,0.0005835201621571819,0.24088869768299428,0.10526315789473684,0.024149113159233355,0.007110312162658222,5.0429871883306276e-05,0.007092497590774249
native.country_Laos,0.000552808574675225,0.24088129551670098,0.1111111111111111,0.023505381880642818,0.006779217915620535,4.328926806551614e-05,0.006385584385150077
native.country_Ecuador,0.0008599244494947943,0.24089386161743462,0.14285714285714285,0.029311857318096126,0.009997117922310256,3.652856349367628e-05,0.0036539094344537667
native.country_Cambodia,0.0005835201621571819,0.2407350500891156,0.3684210526315789,0.024149113159233335,0.007110312162658222,3.4058162313610474e-05,0.004789967238355071
native.country_Yugoslavia,0.000491385399711311,0.24074358580427102,0.375,0.02216176753105436,0.00610949192492374,3.1586565839458736e-05,0.0051700806266067705
occupation_Armed-Forces,0.0002764042873376125,0.24084541656426642,0.1111111111111111,0.016623113066079796,0.0036660683708529445,2.163955950962304e-05,0.005902661194665172
native.country_South,0.0024569269985565555,0.24091007050275545,0.2,0.049506469357858705,0.024839164845889147,1.6874637573049966e-05,0.0006793560764923503
native.country_Thailand,0.000552808574675225,0.24085056694219956,0.16666666666666666,0.023505381880647047,0.006779217915620535,1.301903026607043e-05,0.0019204324788073632
native.country_Poland,0.0018426952489174165,0.2408848958493585,0.2,0.04288705775799018,0.019394978885874974,1.2648509792656526e-05,0.0006521538315191575
native.country_Holand-Netherlands,3.071158748195694e-05,0.24081695331695332,0.0,0.00554171853131981,0.000504699802654144,1.2207035768430075e-05,0.024186725860075673
native.country_Hong,0.0006142317496391389,0.24077317845179927,0.3,0.02477608663604671,0.007439071999014965,8.07998231167062e-06,0.0010861546054051526
education_Assoc-acdm,0.032769263843248055,0.24055375627103576,0.24835988753514526,0.17803212965763873,0.2080948994735348,7.56897900788811e-06,3.637272718859081e-05
native.country_?,0.0179048555019809,0.24063418600287698,0.2504288164665523,0.13260569992064186,0.12950952525821657,6.598030846904912e-06,5.094629783986725e-05
native.country_China,0.002303369061146771,0.24074986147879088,0.26666666666666666,0.04793812211712694,0.023501437911023847,5.95051020135795e-06,0.000253197707471624
native.country_Cuba,0.0029176008107859096,0.24074416312449948,0.2631578947368421,0.05393596588821,0.0287721834638058,5.651103049397754e-06,0.00019640855747032912
native.country_Greece,0.0008906360369767513,0.24077831058649946,0.27586206896551724,0.029830233060222748,0.010309048700591263,4.189596353509906e-06,0.00040639989927194895
native.country_Ireland,0.0007370780995669666,0.24083351261640593,0.20833333333333334,0.027139174921904367,0.008732944153300044,3.1716814975490948e-06,0.00036318582162815795
"capital.loss_(2904, 4356]",0.00033782746230152634,0.24079877112135176,0.2727272727272727,0.018376978394358364,0.004382931973895422,1.320324437004139e-06,0.0003012422836740204
"fnlwgt_(10812.58, 503091.667]",0.9889131169190135,0.23822714681440443,0.2408385093167702,0.10470894949587355,0.08791532621150075,2.9571637072400847e-07,3.363649814738718e-06
"fnlwgt_(503091.667, 993898.333]",0.010687632443721016,0.24083444572067178,0.23850574712643677,0.10282707307162722,0.08531799987913415,2.267259288091239e-07,2.657421987509265e-06
native.country_Hungary,0.00039925063726544026,0.2408135676539265,0.23076923076923078,0.01997726798624253,0.0050835883649818035,1.6041134587307937e-07,3.1554747228959314e-05
"fnlwgt_(993898.333, 1484705]",0.00039925063726544026,0.2408135676539265,0.23076923076923078,0.01997726798624468,0.0050835883649818035,1.6041134587307937e-07,3.1554747228959314e-05
native.country_Scotland,0.0003685390497834833,0.24080616916034286,0.25,0.01919383309170262,0.004735109136720514,1.2182333986032745e-07,2.5727673078450098e-05
