,"age_(16.927, 41.333]","age_(41.333, 65.667]","age_(65.667, 90]","capital.gain_(-99.999, 33333]","capital.gain_(33333, 66666]","capital.gain_(66666, 99999]","capital.loss_(-4.356, 1452]","capital.loss_(1452, 2904]","capital.loss_(2904, 4356]","education.num_(0.985, 6]","education.num_(11, 16]","education.num_(6, 11]",education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,"fnlwgt_(10812.58, 503091.667]","fnlwgt_(503091.667, 993898.333]","fnlwgt_(993898.333, 1484705]","hours.per.week_(0.902, 33.667]","hours.per.week_(33.667, 66.333]","hours.per.week_(66.333, 99]",income==>50K,marital.status_Divorced,marital.status_Married-AF-spouse,marital.status_Married-civ-spouse,marital.status_Married-spouse-absent,marital.status_Never-married,marital.status_Separated,marital.status_Widowed,native.country_?,native.country_Cambodia,native.country_Canada,native.country_China,native.country_Columbia,native.country_Cuba,native.country_Dominican-Republic,native.country_Ecuador,native.country_El-Salvador,native.country_England,native.country_France,native.country_Germany,native.country_Greece,native.country_Guatemala,native.country_Haiti,native.country_Holand-Netherlands,native.country_Honduras,native.country_Hong,native.country_Hungary,native.country_India,native.country_Iran,native.country_Ireland,native.country_Italy,native.country_Jamaica,native.country_Japan,native.country_Laos,native.country_Mexico,native.country_Nicaragua,native.country_Outlying-US(Guam-USVI-etc),native.country_Peru,native.country_Philippines,native.country_Poland,native.country_Portugal,native.country_Puerto-Rico,native.country_Scotland,native.country_South,native.country_Taiwan,native.country_Thailand,native.country_Trinadad&Tobago,native.country_United-States,native.country_Vietnam,native.country_Yugoslavia,occupation_?,occupation_Adm-clerical,occupation_Armed-Forces,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Handlers-cleaners,occupation_Machine-op-inspct,occupation_Other-service,occupation_Priv-house-serv,occupation_Prof-specialty,occupation_Protective-serv,occupation_Sales,occupation_Tech-support,occupation_Transport-moving,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,sex==Male,workclass_?,workclass_Federal-gov,workclass_Local-gov,workclass_Never-worked,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
"education.num_(11, 16]",-0.059990680242431114 (p=0.000),0.06531850447180619 (p=0.000),-0.01064610016865405 (p=0.004),-0.06952752407201204 (p=0.000),-0.004493361664101492 (p=0.224),0.07197885967669726 (p=0.000),-0.07354219057085921 (p=0.000),0.07417590722714365 (p=0.000),-0.004038808923291268 (p=0.274),-0.1856663675431403 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"education.num_(6, 11]",0.09355215129725546 (p=0.000),-0.0810974087693915 (p=0.000),-0.03695853221318053 (p=0.000),0.05739075702807322 (p=0.000),-0.0020391577423052895 (p=0.581),-0.058205272477262655 (p=0.000),0.055212552851549065 (p=0.000),-0.0554092705368466 (p=0.000),-7.209979877946726e-05 (p=0.984),-0.3949576546352911 (p=0.000),-0.829395403564061 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_10th,0.001149228568760944 (p=0.756),-0.007652971692900179 (p=0.038),0.01671765865377861 (p=0.000),0.004540339637615219 (p=0.219),0.010037978972575686 (p=0.007),-0.00674982706233209 (p=0.068),0.012640953927220975 (p=0.001),-0.01330413027509398 (p=0.000),0.006859893686843527 (p=0.063),0.5776222061094626 (p=0.000),-0.10724501682059903 (p=0.000),-0.22813631179025606 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_11th,0.048304925407130786 (p=0.000),-0.04796623364388083 (p=0.000),-0.0033678210449403154 (p=0.362),0.013850517488253798 (p=0.000),-0.002837251201078422 (p=0.443),-0.013553878912262245 (p=0.000),0.017453267044200912 (p=0.000),-0.01719776119827475 (p=0.000),-0.0035569011366449097 (p=0.336),-0.057532338100489445 (p=0.000),-0.12081562723705655 (p=0.000),0.14566710487891552 (p=0.000),-0.0332319560562402 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_12th,0.03302346508779448 (p=0.000),-0.028409577587409567 (p=0.000),-0.01360704755914742 (p=0.000),0.008310308658465887 (p=0.024),-0.0017023503448561322 (p=0.645),-0.008132325552160419 (p=0.028),0.014464277635521095 (p=0.000),-0.014325667108132396 (p=0.000),-0.002134140210879152 (p=0.564),-0.03451939524019633 (p=0.000),-0.07248936034033188 (p=0.000),0.08740024363389533 (p=0.000),-0.01993916923220669 (p=0.000),-0.022462239354250072 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_1st-4th,-0.027981537791477135 (p=0.000),0.01775163414402262 (p=0.000),0.0278337414861755 (p=0.000),0.005155183245068681 (p=0.163),-0.0010560291242731402 (p=0.775),-0.005044773925121641 (p=0.172),0.007100658506623337 (p=0.055),-0.0070077836908276035 (p=0.058),-0.0013238839025002634 (p=0.720),0.24219656503412446 (p=0.000),-0.04496775646131184 (p=0.000),-0.09565738728660157 (p=0.000),-0.012368983556554962 (p=0.001),-0.01393413466632043 (p=0.000),-0.008360478954230859 (p=0.024),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_5th-6th,-0.025546640488532394 (p=0.000),0.01573431851801035 (p=0.000),0.026630830183539664 (p=0.000),0.007276465777891935 (p=0.049),-0.001490569668998899 (p=0.687),-0.007120624637051119 (p=0.054),0.005453107502070028 (p=0.140),-0.005305199398020068 (p=0.151),-0.0018686427722351216 (p=0.613),0.3418569104560135 (p=0.000),-0.06347133078388861 (p=0.000),-0.13501900357457383 (p=0.000),-0.017458639446555926 (p=0.000),-0.019667827354344112 (p=0.000),-0.011800693807623537 (p=0.001),-0.0073203946444604035 (p=0.048),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_7th-8th,-0.08059349585134203 (p=0.000),0.04992539730807506 (p=0.000),0.08327244459880681 (p=0.000),0.010184363376791409 (p=0.006),-0.0020862467591933652 (p=0.572),-0.009966243364161267 (p=0.007),0.007996564981361478 (p=0.030),-0.0088681877314133 (p=0.016),0.009368877898325027 (p=0.011),0.47847335577793876 (p=0.000),-0.08883640993346652 (p=0.000),-0.18897671440353192 (p=0.000),-0.024435644118376097 (p=0.000),-0.02752769087669215 (p=0.000),-0.016516610880001746 (p=0.000),-0.010245847557919996 (p=0.006),-0.014461864026272695 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_9th,-0.01645642167649193 (p=0.000),0.007131090457349211 (p=0.054),0.024905236732396186 (p=0.000),0.005606104576718367 (p=0.129),-0.0018570975187916373 (p=0.615),-0.005336989185967674 (p=0.149),0.01757618620286147 (p=0.000),-0.01743158947464436 (p=0.000),-0.002328137978385453 (p=0.529),0.42591878353195345 (p=0.000),-0.07907879340677089 (p=0.000),-0.16821988380889658 (p=0.000),-0.021751681033099542 (p=0.000),-0.024504103457509523 (p=0.000),-0.014702458828963127 (p=0.000),-0.009120463815645404 (p=0.014),-0.012873401327979626 (p=0.000),-0.01801800503449859 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Assoc-acdm,0.023378071414937893 (p=0.000),-0.015921317460320807 (p=0.000),-0.020442458213936192 (p=0.000),0.01075380077182591 (p=0.004),-0.002699076155812528 (p=0.465),-0.010419131516693702 (p=0.005),-0.0016889292566033645 (p=0.648),0.001999312785675112 (p=0.588),-0.0033836789082516633 (p=0.360),-0.054730494746518435 (p=0.000),0.2947787230975023 (p=0.000),-0.24448811800555154 (p=0.000),-0.03161354911694634 (p=0.000),-0.03561387632716335 (p=0.000),-0.021368321079277757 (p=0.000),-0.013255537830224961 (p=0.000),-0.018709997841773872 (p=0.000),-0.02618708348475353 (p=0.000),-0.023310745744539105 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Assoc-voc,0.01509089642599364 (p=0.000),-0.010881027650268639 (p=0.003),-0.011638929735461462 (p=0.002),0.01293181480959918 (p=0.000),-0.003087235581198699 (p=0.403),-0.012562697394290872 (p=0.001),0.008065910430765232 (p=0.029),-0.007747684707026062 (p=0.036),-0.00387029239557021 (p=0.295),-0.06260139433049633 (p=0.000),-0.1314604441895416 (p=0.000),0.15850153452096843 (p=0.000),-0.03615995549870969 (p=0.000),-0.040735577595634724 (p=0.000),-0.024441341161996668 (p=0.000),-0.015161842673192923 (p=0.000),-0.021400719256062073 (p=0.000),-0.029953099221690607 (p=0.000),-0.02666310972064912 (p=0.000),-0.03875174187602353 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Bachelors,0.007983758141491742 (p=0.031),-0.00026251083175305324 (p=0.943),-0.02032988619234833 (p=0.000),-0.015936717313661898 (p=0.000),-0.006505702974225865 (p=0.078),0.017650223982018747 (p=0.000),-0.031964492388121865 (p=0.000),0.03281528044338155 (p=0.000),-0.008155831353565986 (p=0.027),-0.1319193390251302 (p=0.000),0.710518231011754 (p=0.000),-0.5893005549496166 (p=0.000),-0.07619953963619783 (p=0.000),-0.08584170574304893 (p=0.000),-0.05150501207618621 (p=0.000),-0.031950410773458664 (p=0.000),-0.045097537668530426 (p=0.000),-0.06311988883536165 (p=0.000),-0.056186924401922814 (p=0.000),-0.08166118708744348 (p=0.000),-0.0934050422535725 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Doctorate,-0.06743479636730897 (p=0.000),0.056541780356854913 (p=0.000),0.031581395648427914 (p=0.000),-0.03812812487349356 (p=0.000),-0.001662053068366005 (p=0.653),0.03930372699686604 (p=0.000),-0.04522353345515437 (p=0.000),0.04289237320426891 (p=0.000),0.027784222954239716 (p=0.000),-0.03370226754467268 (p=0.000),0.1815205844259426 (p=0.000),-0.1505523383751389 (p=0.000),-0.019467178130045178 (p=0.000),-0.021930523263857332 (p=0.000),-0.013158311053639788 (p=0.000),-0.008162573433180782 (p=0.027),-0.01152135305818378 (p=0.002),-0.016125637049425455 (p=0.000),-0.014354428794895426 (p=0.000),-0.020862499733358363 (p=0.000),-0.023862776658179593 (p=0.000),-0.0502858084507205 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_HS-grad,-0.0009683964199428281 (p=0.793),0.001600843091142384 (p=0.665),-0.0015814523667798956 (p=0.669),0.02540258582733518 (p=0.000),0.0033274777805179304 (p=0.368),-0.026652748625021566 (p=0.000),0.02640730493230658 (p=0.000),-0.02664991220417023 (p=0.000),0.001617712221545928 (p=0.662),-0.2051510060649625 (p=0.000),-0.4308089727339064 (p=0.000),0.5194253197963755 (p=0.000),-0.11849977670881938 (p=0.000),-0.13349454617995177 (p=0.000),-0.0800967100267596 (p=0.000),-0.04968686898222876 (p=0.000),-0.07013228911031098 (p=0.000),-0.0981592903131229 (p=0.000),-0.08737766694354523 (p=0.000),-0.1269933188814476 (p=0.000),-0.14525647665813735 (p=0.000),-0.3060976292108862 (p=0.000),-0.07820069650659865 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Masters,-0.09160922679304749 (p=0.000),0.0929480485777647 (p=0.000),0.0012764592020153179 (p=0.730),-0.019678726990159743 (p=0.000),0.005891378434890743 (p=0.111),0.018866033688322365 (p=0.000),-0.0455441901631702 (p=0.000),0.04610241753461842 (p=0.000),-0.004345306175754373 (p=0.240),-0.07028467040539026 (p=0.000),0.3785535923142318 (p=0.000),-0.3139706094680873 (p=0.000),-0.040597986375237975 (p=0.000),-0.045735189698284905 (p=0.000),-0.027441107761393434 (p=0.000),-0.017022705746741106 (p=0.000),-0.02402730027720592 (p=0.000),-0.03362934210861345 (p=0.000),-0.029935561320008103 (p=0.000),-0.04350787126260929 (p=0.000),-0.049764823395175545 (p=0.000),-0.10486895186926813 (p=0.000),-0.026791534123394908 (p=0.000),-0.16308428422962418 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Preschool,-0.008303037604920852 (p=0.025),0.004915289455562459 (p=0.183),0.009167716359465722 (p=0.013),-0.008069382863434544 (p=0.029),0.052392008224064 (p=0.000),-0.002774528923998191 (p=0.453),0.0009313312151530264 (p=0.801),-0.0008693070133251987 (p=0.814),-0.00072811076056575 (p=0.844),0.13320346658824445 (p=0.000),-0.024731403785593402 (p=0.000),-0.05260972875298339 (p=0.000),-0.00680270377771037 (p=0.066),-0.007663506875912129 (p=0.038),-0.0045981031105238965 (p=0.213),-0.0028523686771036055 (p=0.440),-0.0040260766840304165 (p=0.276),-0.005635019690132062 (p=0.127),-0.005016080211399546 (p=0.175),-0.007290291628325957 (p=0.048),-0.008338722738079781 (p=0.024),-0.017572113268177224 (p=0.000),-0.004489258868834884 (p=0.224),-0.027326825181918972 (p=0.000),-0.009362161746010173 (p=0.011),0.9999999999999998 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Prof-school,-0.045652694349336845 (p=0.000),0.039000277809945735 (p=0.000),0.019517705353551414 (p=0.000),-0.14087353417382822 (p=0.000),-0.0019678178903160754 (p=0.594),0.14433943396143267 (p=0.000),-0.042730277888724105 (p=0.000),0.04310929812122339 (p=0.000),-0.0024669418372666586 (p=0.504),-0.039902411229158934 (p=0.000),0.21491458984830658 (p=0.000),-0.17824917297904092 (p=0.000),-0.02304851880327378 (p=0.000),-0.02596504097491791 (p=0.000),-0.015579021145908529 (p=0.000),-0.009664226936281373 (p=0.009),-0.013640915022545616 (p=0.000),-0.019092240604446985 (p=0.000),-0.016995186450715138 (p=0.000),-0.02470053513536574 (p=0.000),-0.028252767444271527 (p=0.000),-0.05953679541389007 (p=0.000),-0.01521024152045765 (p=0.000),-0.09258713367807778 (p=0.000),-0.03172032299116716 (p=0.000),-0.005315139500953662 (p=0.150),0.9999999999999998 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education_Some-college,0.07093615997756884 (p=0.000),-0.06074447389345292 (p=0.000),-0.029953037702025752 (p=0.000),0.02293413798512454 (p=0.000),-0.0028514160112182376 (p=0.440),-0.022831318057057324 (p=0.000),0.01834712441298163 (p=0.000),-0.01860813231766952 (p=0.000),0.002152400611663877 (p=0.560),-0.15971731624573174 (p=0.000),-0.33540002683609416 (p=0.000),0.4043909881762305 (p=0.000),-0.09225626856374226 (p=0.000),-0.1039302270959969 (p=0.000),-0.06235812249214948 (p=0.000),-0.03868298537118518 (p=0.000),-0.0546004682780919 (p=0.000),-0.07642048027994157 (p=0.000),-0.06802660504437036 (p=0.000),-0.09886879163761182 (p=0.000),-0.11308730609784111 (p=0.000),-0.23830783374887646 (p=0.000),-0.060882008887764634 (p=0.000),-0.3705983687306879 (p=0.000),-0.12696688502109316 (p=0.000),-0.0212749001981024 (p=0.000),-0.0720823592025902 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fnlwgt_(10812.58, 503091.667]",-0.027134953509840874 (p=0.000),0.023479594739201186 (p=0.000),0.01083039319313354 (p=0.003),-0.003461153652269669 (p=0.349),0.0015526462028725748 (p=0.674),0.003209597809534276 (p=0.385),-0.008431818006564238 (p=0.022),0.008287876851275812 (p=0.025),0.0019464646069074724 (p=0.598),-0.01468199598818272 (p=0.000),0.00605054047159434 (p=0.102),0.0026904250844488093 (p=0.467),-0.008185528161717928 (p=0.027),0.001615238930888265 (p=0.662),-0.015873717076102467 (p=0.000),-0.008750291404851588 (p=0.018),-0.012559141291979527 (p=0.001),0.004547614136832114 (p=0.218),-0.00776839817505679 (p=0.036),0.011251799213925988 (p=0.002),0.010652832657701084 (p=0.004),-0.0036632015869694492 (p=0.321),0.004138224631752936 (p=0.263),-0.0009893065078285803 (p=0.789),0.0014447332016260556 (p=0.696),-0.010640059468017072 (p=0.004),0.009758988971339208 (p=0.008),0.0026978932012722487 (p=0.465),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fnlwgt_(503091.667, 993898.333]",0.026378451765222535 (p=0.000),-0.022920151382862422 (p=0.000),-0.01028300259902372 (p=0.005),0.003246556138411286 (p=0.380),-0.0015241260152818494 (p=0.680),-0.002996349190189056 (p=0.417),0.007752749892954608 (p=0.036),-0.007609523594856335 (p=0.039),-0.0019107104630303915 (p=0.605),0.016105210688633086 (p=0.000),-0.00639611757363147 (p=0.083),-0.003176490951873744 (p=0.390),0.009002207498975052 (p=0.015),-0.000893542048466823 (p=0.809),0.016614982545400194 (p=0.000),0.009190053070721448 (p=0.013),0.013183669401476443 (p=0.000),-0.004078437502242152 (p=0.270),0.008402299729852205 (p=0.023),-0.012420681955677422 (p=0.001),-0.011511863975412259 (p=0.002),0.0030357081364034287 (p=0.411),-0.0037738751976290176 (p=0.307),0.0011304319625042001 (p=0.760),-0.0005533957204896477 (p=0.881),0.010988572417747127 (p=0.003),-0.009416545679789551 (p=0.011),-0.003527546773693155 (p=0.340),-0.981631238631209 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
