feature,answerUser,count
"public debt_(61.733, 226.1]",A2EAJ7834XI2IT,2
"public debt_(61.733, 226.1]_1",ATIUQQLY0LCNA,2
"unemployment rate_[0.3, 6.433]_0",A28FMRMS9TMEOZ,2
"unemployment rate_[0.3, 6.433]_1",A26U4IKXMXT0ZA,2
"unemployment rate_[0.3, 6.433]_1",A1NITMHYG5YL3H,2
"electricity consumption per person_(4244.0286, 48501.33]_1",A1Q6IR9E7MW3BM,2
"public debt_(61.733, 226.1]_0",ATIUQQLY0LCNA,2
"education expenditures_(4.133, 5.6]",A10DCC73F2CKHC,2
"unemployment rate_[0.3, 6.433]_0",A26U4IKXMXT0ZA,2
region_3,A1KH1O9AZ7S642,2
"education expenditures_(4.133, 5.6]_0",A10DCC73F2CKHC,2
region_3_1,A2CF2BD4Q0ZDJN,2
region_3_1,A2YXL5GQ3LZUY0,2
"unemployment rate_[0.3, 6.433]",A1NITMHYG5YL3H,2
region_3_1,A1KH1O9AZ7S642,2
region_3_1,A28FMRMS9TMEOZ,2
"unemployment rate_[0.3, 6.433]",A28FMRMS9TMEOZ,2
region_3_0,A2CF2BD4Q0ZDJN,2
region_3_0,A2YXL5GQ3LZUY0,2
region_3_0,A1KH1O9AZ7S642,2
region_3_0,A28FMRMS9TMEOZ,2
"electricity consumption_[90210000, 7952000000]",A15FXOOCN5RT0,2
"education expenditures_(4.133, 5.6]_1",A10DCC73F2CKHC,2
region_3,A28FMRMS9TMEOZ,2
region_3,A2CF2BD4Q0ZDJN,2
"exports_(77193333333.333, 1580000000000]",A1M8GE34UYSUCB,2
"electricity consumption_[90210000, 7952000000]_0",A1F2YZD2VD1CTM,2
"electricity consumption_[90210000, 7952000000]",A28FMRMS9TMEOZ,2
"exports_(77193333333.333, 1580000000000]_1",AMA18W8F60Y2J,2
"exports_(77193333333.333, 1580000000000]_1",A22JBMOHQKHTSS,2
"exports_(77193333333.333, 1580000000000]_1",AY7WPVKHVNBLG,2
"exports_(77193333333.333, 1580000000000]_1",A3IUIBMPBYHAF4,2
"exports_(77193333333.333, 1580000000000]_1",ANVAFB99K5RKP,2
"exports_(77193333333.333, 1580000000000]_1",A2BGRGVU9HG0C6,2
"exports_(77193333333.333, 1580000000000]_1",A1KH1O9AZ7S642,2
"exports_(77193333333.333, 1580000000000]",A1KH1O9AZ7S642,2
"exports_(77193333333.333, 1580000000000]_0",AJ3F5RR0P8LZR,2
"exports_(77193333333.333, 1580000000000]_0",A3F8G26PENQ6EO,2
"exports_(77193333333.333, 1580000000000]_0",A1M8GE34UYSUCB,2
"exports_(77193333333.333, 1580000000000]_0",AMA18W8F60Y2J,2
"exports_(77193333333.333, 1580000000000]_0",A3CPBEVHGIPGW3,2
"exports_(77193333333.333, 1580000000000]_0",A22JBMOHQKHTSS,2
"exports_(77193333333.333, 1580000000000]_0",AY7WPVKHVNBLG,2
"exports_(77193333333.333, 1580000000000]_0",A3IUIBMPBYHAF4,2
"exports_(77193333333.333, 1580000000000]_0",ANVAFB99K5RKP,2
"exports_(77193333333.333, 1580000000000]_0",A2BGRGVU9HG0C6,2
"exports_(77193333333.333, 1580000000000]_0",A1KH1O9AZ7S642,2
"exports_(77193333333.333, 1580000000000]",A22JBMOHQKHTSS,2
"exports_(77193333333.333, 1580000000000]",AJ3F5RR0P8LZR,2
"exports_(77193333333.333, 1580000000000]",A2BGRGVU9HG0C6,2
"exports_(77193333333.333, 1580000000000]_1",A3CPBEVHGIPGW3,2
"exports_(77193333333.333, 1580000000000]_1",A1M8GE34UYSUCB,2
"electricity consumption_[90210000, 7952000000]",A1F2YZD2VD1CTM,2
"exports_(77193333333.333, 1580000000000]_1",A3F8G26PENQ6EO,2
"electricity consumption_[90210000, 7952000000]_0",A15FXOOCN5RT0,2
"electricity consumption_[90210000, 7952000000]_0",A28FMRMS9TMEOZ,2
"exports_(77193333333.333, 1580000000000]",A3F8G26PENQ6EO,2
"inflation rate_(1.9, 4.2]_1",A1Q6IR9E7MW3BM,2
"inflation rate_(1.9, 4.2]_1",A3Y2Z6ZK6HEAC,2
"inflation rate_(1.9, 4.2]_1",A3ULZGQA5AQMTD,2
"electricity consumption_[90210000, 7952000000]_1",A15FXOOCN5RT0,2
"inflation rate_(1.9, 4.2]_0",A1Q6IR9E7MW3BM,2
"inflation rate_(1.9, 4.2]_0",A3Y2Z6ZK6HEAC,2
"inflation rate_(1.9, 4.2]_0",A3ULZGQA5AQMTD,2
"electricity consumption_[90210000, 7952000000]_1",A28FMRMS9TMEOZ,2
"inflation rate_(1.9, 4.2]",A1Q6IR9E7MW3BM,2
"inflation rate_(1.9, 4.2]",A3Y2Z6ZK6HEAC,2
"inflation rate_(1.9, 4.2]",A3ULZGQA5AQMTD,2
"electricity consumption_[90210000, 7952000000]_1",A1F2YZD2VD1CTM,2
"exports_(77193333333.333, 1580000000000]",A3CPBEVHGIPGW3,2
"exports_(77193333333.333, 1580000000000]",ANVAFB99K5RKP,2
"exports_(77193333333.333, 1580000000000]",A3IUIBMPBYHAF4,2
"exports_(77193333333.333, 1580000000000]",AY7WPVKHVNBLG,2
"exports_(77193333333.333, 1580000000000]",AMA18W8F60Y2J,2
"exports_(77193333333.333, 1580000000000]_1",AJ3F5RR0P8LZR,2
"unemployment rate_[0.3, 6.433]_1",A28FMRMS9TMEOZ,2
