"life expectancy at birth_(76.77, 84.46]",0.3362831858,0.5333333333,0.7105263158,0.4724370908,0.0214468094
"population growth rate_(0.33, 1.233]",0.3185840708,0.5324675325,0.7222222222,0.4659273126,0.024036984
"population growth rate_[-1.02, 0.33]",0.3451327434,0.527027027,0.7179487179,0.4754115405,0.0252516741
"obesity_(18, 24.633]",0.3274336283,0.5263157895,0.7297297297,0.469276941,0.0280690161
continent_2,0.2212389381,0.6477272727,0.4,0.4150810407,0.0311457181
"gdp per capita_[700, 10000]",0.3362831858,0.6666666667,0.4473684211,0.4724370908,0.0318628153
"net migration rate_(0.587, 27.35]",0.3362831858,0.52,0.7368421053,0.4724370908,0.0323801334
"gdp growth rate_(3.867, 8.9]",0.3362831858,0.68,0.4210526316,0.4724370908,0.0444782105
"life expectancy at birth_[49.56, 73.247]",0.3362831858,0.68,0.4210526316,0.4724370908,0.0444782105
region_6,0.203539823,0.6555555556,0.347826087,0.4026305546,0.0453015737
region_1,0.203539823,0.5333333333,0.8260869565,0.4026305546,0.0453614859
"gdp_cap_(29204.352, 146320.609]",0.3362831858,0.5066666667,0.7631578947,0.4724370908,0.0457304746
"internet users ratio_(0.521, 0.901]",0.3362831858,0.5066666667,0.7631578947,0.4724370908,0.0457304746
"exports per capita_(5496.676, 73072.733]",0.3362831858,0.5066666667,0.7631578947,0.4724370908,0.0457304746
continent_1,0.1946902655,0.6593406593,0.3181818182,0.3959620765,0.0539818929
"gdp growth rate_[-8.7, 1.6]",0.3539823009,0.4931506849,0.775,0.4782037553,0.0567306693
"gdp_cap_[838.672, 12142.774]",0.3362831858,0.6933333333,0.3947368421,0.4724370908,0.0592550794
"obesity_[1.1, 18]",0.3362831858,0.6933333333,0.3947368421,0.4724370908,0.0592550794
"internet users ratio_[0.00379, 0.242]",0.3362831858,0.6933333333,0.3947368421,0.4724370908,0.0592550794
"exports per capita_[0.134, 1134.119]",0.3362831858,0.6933333333,0.3947368421,0.4724370908,0.0592550794
"pop_(24082668.667, 1326876881]",0.3362831858,0.4933333333,0.7894736842,0.4724370908,0.0616237843
"health expenditures_(7.7, 19.5]",0.3185840708,0.4935064935,0.8055555556,0.4659273126,0.0671982185
"pop_[56230, 4675733.333]",0.3362831858,0.7066666667,0.3684210526,0.4724370908,0.0762398084
"electricity consumption per person_[26.757, 1320.325]",0.3362831858,0.7066666667,0.3684210526,0.4724370908,0.0762398084
planned_econ,0.185840708,0.5217391304,0.9047619048,0.3889780704,0.0775738512
region_2,0.1946902655,0.5164835165,0.9090909091,0.3959620765,0.084697507
continent_4,0.3185840708,0.4805194805,0.8333333333,0.4659273126,0.0871851728
"population growth rate_(1.233, 3.58]",0.3362831858,0.72,0.3421052632,0.4724370908,0.0954908123
"electricity consumption per person_(4244.0286, 48501.33]",0.3362831858,0.4666666667,0.8421052632,0.4724370908,0.1017482664
region_5,0.1592920354,0.6736842105,0.1666666667,0.365948197,0.1054141261
"exports_(77193333333.333, 1580000000000]",0.3362831858,0.4533333333,0.8684210526,0.4724370908,0.1264934949
"internet users_(6149000, 245000000]",0.3362831858,0.4533333333,0.8684210526,0.4724370908,0.1264934949
"electricity consumption_(55576666666.667, 3890000000000]",0.3362831858,0.44,0.8947368421,0.4724370908,0.1548833984
"exports_[1163000, 10071333333.333]",0.3362831858,0.7733333333,0.2368421053,0.4724370908,0.1968698195
"electricity consumption_[90210000, 7952000000]",0.3362831858,0.7866666667,0.2105263158,0.4724370908,0.2289239601
"internet users_[14400, 1167666.667]",0.3362831858,0.7866666667,0.2105263158,0.4724370908,0.2289239601
medals,0.592920354,0,1,0.4912899427,0.9749415665
,p,p|f=0,p|f=1,std,IG
